"~id","~labels","Publication_Year","Reference_ID","Author","Title","URL","Publisher","Version","Schema","Date","Name","Status","Resources_Required","Description","Likelihood_Of_Attack","Typical_Severity","Submission_Name","ExtendedName","Skills_Required_Description","Skills_Required","Abstraction","Submission_Organization","Modifications","Prerequisites","Submission_Date","Mitigations","Examples","Indicators","Notes","Alternate_Terms","Scope"
"521878","External_Reference_CWE","2016","REF-1260","['Thu T. Pham']","The Great DNS Vulnerability of 2008 by Dan Kaminsky","https://duo.com/blog/the-great-dns-vulnerability-of-2008-by-dan-kaminsky",,,,,,,,,,,,,,,,,,,,,,,,,
"547694","External_Reference_CAPEC","2004","REF-1","['G. Hoglund','G. McGraw']","Exploiting Software: How to Break Code",,"Addison-Wesley",,,,,,,,,,,,,,,,,,,,,,,,
"547700","External_Reference_CAPEC",,"REF-2",,"Sharefuzz","http://sharefuzz.sourceforge.net",,,,,,,,,,,,,,,,,,,,,,,,,
"547712","External_Reference_CAPEC",,"REF-23",,"DNS Threats and DNS Weaknesses","http://www.dnssec.net/dns-threats.php","DNSSEC",,,,,,,,,,,,,,,,,,,,,,,,
"547783","External_Reference_CAPEC",,"REF-117",,"HTTP Response Smuggling","http://www.securiteam.com/securityreviews/5CP0L0AHPC.html","Beyond Security",,,,,,,,,,,,,,,,,,,,,,,,
"547785","External_Reference_CAPEC",,"REF-119","['Collin Jackson','Adam Barth','Andrew Bortz','Weidong Shao','Dan Boneh']","Protecting Browsers from DNS Rebinding Attacks",,,,,,,,,,,,,,,,,,,,,,,,,,
"547916","External_Reference_CAPEC","2014","REF-479","['Anonymous']","Towards a Comprehensive Picture of the Great Firewall's DNS Censorship",,"USENIX",,,,,,,,,,,,,,,,,,,,,,,,
"547918","External_Reference_CAPEC",,"REF-485","['Artem Dinaburg']","Bitsquatting: DNS Hijacking without exploitation","http://media.blackhat.com/bh-us-11/Dinaburg/BH_US_11_Dinaburg_Bitsquatting_WP.pdf","Raytheon",,,,,,,,,,,,,,,,,,,,,,,,
"547977","External_Reference_CAPEC","2018","REF-578","['Rob Smallridge']","HAPT15 is alive and strong: An analysis of RoyalCli and RoyalDNS","https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/2018/march/apt15-is-alive-and-strong-an-analysis-of-royalcli-and-royaldns/","NCC Group",,,,,,,,,,,,,,,,,,,,,,,,
"548009","External_Reference_CAPEC",,"REF-610",,"OWASP Web Security Testing Guide","https://owasp.org/www-project-web-security-testing-guide/latest/4-Web_Application_Security_Testing/07-Input_Validation_Testing/08-Testing_for_SSI_Injection.html","The Open Web Application Security Project (OWASP)",,,,,,,,,,,,,,,,,,,,,,,,
