"~id","~start_node_id","~end_node_id","~relationship_type","Impact","Note","Nature","CAPEC_ID","Section"
"866004","550025","550010","belongsTo",,,,,
"866009","550028","550010","belongsTo",,,,,
"866010","550029","550010","belongsTo",,,,,
"866012","550030","550010","belongsTo",,,,,
"866013","550031","550010","belongsTo",,,,,
"866014","550032","550010","belongsTo",,,,,
"866015","550033","550010","belongsTo",,,,,
"866016","550034","550010","belongsTo",,,,,
"866017","550035","550010","belongsTo",,,,,
"866018","550036","550010","belongsTo",,,,,
"866734","550025","550869","hasConsequence","['Gain Privileges']",,,,
"866779","550028","550875","hasConsequence","['Unreliable Execution']",,,,
"866780","550028","550876","hasConsequence","['Execute Unauthorized Commands']","Run Arbitrary Code",,,
"866788","550028","550877","hasConsequence","['Read Data']",,,,
"866790","550028","550878","hasConsequence","['Modify Data']",,,,
"866791","550028","550869","hasConsequence","['Gain Privileges']",,,,
"866792","550029","550875","hasConsequence","['Unreliable Execution']",,,,
"866793","550029","550876","hasConsequence","['Execute Unauthorized Commands']","Run Arbitrary Code",,,
"866794","550029","550869","hasConsequence","['Gain Privileges']",,,,
"866795","550030","550877","hasConsequence","['Read Data']",,,,
"866796","550030","550876","hasConsequence","['Execute Unauthorized Commands']","Run Arbitrary Code",,,
"866797","550031","550869","hasConsequence","['Gain Privileges']",,,,
"866798","550031","550878","hasConsequence","['Modify Data']",,,,
"866799","550031","550877","hasConsequence","['Read Data']",,,,
"866800","550031","550875","hasConsequence","['Unreliable Execution']",,,,
"866801","550032","550869","hasConsequence","['Gain Privileges']",,,,
"866802","550032","550878","hasConsequence","['Modify Data']",,,,
"866803","550032","550877","hasConsequence","['Read Data']",,,,
"866804","550032","550875","hasConsequence","['Unreliable Execution']",,,,
"866805","550033","550878","hasConsequence","['Modify Data']",,,,
"866807","550033","550877","hasConsequence","['Read Data']",,,,
"866808","550033","550869","hasConsequence","['Gain Privileges']",,,,
"866809","550033","550876","hasConsequence","['Execute Unauthorized Commands']","Run Arbitrary Code",,,
"866810","550034","550876","hasConsequence","['Execute Unauthorized Commands']",,,,
"866811","550034","550869","hasConsequence","['Gain Privileges']",,,,
"866812","550034","550877","hasConsequence","['Read Data']",,,,
"866813","550034","550878","hasConsequence","['Modify Data']",,,,
"866814","550036","550877","hasConsequence","['Read Data']",,,,
"866816","550036","550878","hasConsequence","['Modify Data']",,,,
"867994","550025","551198","hasMitigation",,,,,
"867995","550028","551199","hasMitigation",,,,,
"867996","550028","551200","hasMitigation",,,,,
"867997","550028","551201","hasMitigation",,,,,
"867998","550028","551202","hasMitigation",,,,,
"867999","550029","551203","hasMitigation",,,,,
"868000","550029","551204","hasMitigation",,,,,
"868001","550029","551205","hasMitigation",,,,,
"868002","550029","551206","hasMitigation",,,,,
"868003","550029","551208","hasMitigation",,,,,
"868004","550029","551209","hasMitigation",,,,,
"868005","550030","551210","hasMitigation",,,,,
"868006","550030","551211","hasMitigation",,,,,
"868007","550030","551212","hasMitigation",,,,,
"868008","550031","551213","hasMitigation",,,,,
"868009","550031","551214","hasMitigation",,,,,
"868010","550032","551215","hasMitigation",,,,,
